Date,DEX,Values,Blockchain
2023-05-10,KyberSwap,3050,Polygon
2023-05-10,QuickSwap,48774,Polygon
2023-05-10,Sushiswap,10538,Polygon
2023-05-10,Uniswap,65000,Polygon
2023-05-10,WOOFi,4477,Polygon
2023-05-09,Curve,377,Avalanche
2023-05-09,Fraxswap,71,Avalanche
2023-05-09,GMX,381,Avalanche
2023-05-09,Hashflow,432,Avalanche
2023-05-09,KyberSwap,420,Avalanche
2023-05-09,Pangolin,3178,Avalanche
2023-05-09,Platypus,749,Avalanche
2023-05-09,Sushiswap,834,Avalanche
2023-05-09,Trader Joe,23883,Avalanche
2023-05-09,WOOFi,7503,Avalanche
2023-05-09,Balancer,383,Ethereum
2023-05-09,Curve,676,Ethereum
2023-05-09,DODO,22,Ethereum
2023-05-09,Fraxswap,60,Ethereum
2023-05-09,Hashflow,157,Ethereum
2023-05-09,KyberSwap,25,Ethereum
2023-05-09,Maverick,231,Ethereum
2023-05-09,PancakeSwap,570,Ethereum
2023-05-09,Shibaswap,689,Ethereum
2023-05-09,Sushiswap,2398,Ethereum
2023-05-09,Synthetix,3,Ethereum
2023-05-09,Uniswap,297888,Ethereum
2023-05-09,Beethoven X,849,Optimism
2023-05-09,Curve,610,Optimism
2023-05-09,Fraxswap,15,Optimism
2023-05-09,KyberSwap,231,Optimism
2023-05-09,Sushiswap,689,Optimism
2023-05-09,Synthetix,15,Optimism
2023-05-09,Uniswap,21896,Optimism
2023-05-09,Velodrome,7186,Optimism
2023-05-09,WOOFi,703,Optimism
2023-05-09,Balancer,4616,Polygon
2023-05-09,Curve,706,Polygon
2023-05-09,DODO,2442,Polygon
2023-05-09,Fraxswap,2641,Polygon
2023-05-09,KyberSwap,2907,Polygon
2023-05-09,QuickSwap,43932,Polygon
2023-05-09,Sushiswap,10472,Polygon
2023-05-09,Uniswap,58011,Polygon
2023-05-09,WOOFi,3469,Polygon
2023-05-08,Curve,599,Avalanche
2023-05-08,Fraxswap,79,Avalanche
2023-05-08,GMX,1105,Avalanche
2023-05-08,Hashflow,448,Avalanche
2023-05-08,KyberSwap,682,Avalanche
2023-05-08,Pangolin,5751,Avalanche
2023-05-08,Platypus,1188,Avalanche
2023-05-08,Sushiswap,1039,Avalanche
2023-05-08,Trader Joe,29005,Avalanche
2023-05-08,WOOFi,6562,Avalanche
2023-05-08,Balancer,593,Ethereum
2023-05-08,Curve,841,Ethereum
2023-05-08,DODO,37,Ethereum
2023-05-08,Fraxswap,122,Ethereum
2023-05-08,Hashflow,288,Ethereum
2023-05-08,KyberSwap,30,Ethereum
2023-05-08,Maverick,355,Ethereum
2023-05-08,PancakeSwap,800,Ethereum
2023-05-08,Shibaswap,822,Ethereum
2023-05-08,Sushiswap,3169,Ethereum
2023-05-08,Uniswap,316266,Ethereum
2023-05-08,Beethoven X,1062,Optimism
2023-05-08,Curve,779,Optimism
2023-05-08,Fraxswap,35,Optimism
2023-05-08,KyberSwap,340,Optimism
2023-05-08,Sushiswap,784,Optimism
2023-05-08,Synthetix,20,Optimism
2023-05-08,Uniswap,29639,Optimism
2023-05-08,Velodrome,9715,Optimism
2023-05-08,WOOFi,833,Optimism
2023-05-08,Balancer,3913,Polygon
2023-05-08,Curve,759,Polygon
2023-05-08,DODO,2881,Polygon
2023-05-08,Fraxswap,177,Polygon
2023-05-08,KyberSwap,3079,Polygon
2023-05-08,QuickSwap,52823,Polygon
2023-05-08,Sushiswap,11202,Polygon
2023-05-08,Uniswap,66508,Polygon
2023-05-08,WOOFi,3158,Polygon
2023-05-07,Curve,340,Avalanche
2023-05-07,Fraxswap,39,Avalanche
2023-05-07,GMX,308,Avalanche
2023-05-07,Hashflow,302,Avalanche
2023-05-07,KyberSwap,377,Avalanche
2023-05-07,Pangolin,3310,Avalanche
2023-05-07,Platypus,596,Avalanche
2023-05-07,Sushiswap,745,Avalanche
2023-05-07,Trader Joe,21937,Avalanche
2023-05-07,WOOFi,6293,Avalanche
2023-05-07,Balancer,314,Ethereum
2023-05-07,Curve,499,Ethereum
2023-05-07,DODO,17,Ethereum
2023-05-07,Fraxswap,46,Ethereum
2023-05-07,Hashflow,180,Ethereum
2023-05-07,KyberSwap,20,Ethereum
2023-05-07,Maverick,214,Ethereum
2023-05-07,PancakeSwap,523,Ethereum
2023-05-07,Shibaswap,845,Ethereum
2023-05-07,Sushiswap,2473,Ethereum
2023-05-07,Uniswap,341910,Ethereum
2023-05-07,Beethoven X,793,Optimism
2023-05-07,Curve,540,Optimism
2023-05-07,Fraxswap,22,Optimism
2023-05-07,KyberSwap,243,Optimism
2023-05-07,Sushiswap,640,Optimism
2023-05-07,Synthetix,20,Optimism
2023-05-07,Uniswap,17353,Optimism
2023-05-07,Velodrome,6594,Optimism
2023-05-07,WOOFi,585,Optimism
2023-05-07,Balancer,2358,Polygon
2023-05-07,Curve,914,Polygon
2023-05-07,DODO,1846,Polygon
2023-05-07,Fraxswap,353,Polygon
2023-05-07,KyberSwap,1842,Polygon
