Date,Exchange,Values,Blockchain
2023-09-16,WOOFi,983,Polygon
2023-09-15,Balancer,894,Arbitrum
2023-09-15,Camelot,1715,Arbitrum
2023-09-15,Curve,15,Arbitrum
2023-09-15,DODO,354,Arbitrum
2023-09-15,Fraxswap,33,Arbitrum
2023-09-15,GMX,182,Arbitrum
2023-09-15,KyberSwap,678,Arbitrum
2023-09-15,Sushiswap,2424,Arbitrum
2023-09-15,Trader Joe,1591,Arbitrum
2023-09-15,Uniswap,10380,Arbitrum
2023-09-15,WOOFi,1371,Arbitrum
2023-09-15,Zyberswap,345,Arbitrum
2023-09-15,Balancer,66,Avalanche
2023-09-15,Curve,168,Avalanche
2023-09-15,Fraxswap,23,Avalanche
2023-09-15,GMX,146,Avalanche
2023-09-15,Hashflow,24,Avalanche
2023-09-15,KyberSwap,216,Avalanche
2023-09-15,Pangolin,1089,Avalanche
2023-09-15,Platypus,271,Avalanche
2023-09-15,Sushiswap,381,Avalanche
2023-09-15,Trader Joe,5363,Avalanche
2023-09-15,Uniswap,762,Avalanche
2023-09-15,WOOFi,1159,Avalanche
2023-09-15,Balancer,270,Ethereum
2023-09-15,Curve,585,Ethereum
2023-09-15,DODO,166,Ethereum
2023-09-15,Fraxswap,44,Ethereum
2023-09-15,Hashflow,87,Ethereum
2023-09-15,KyberSwap,24,Ethereum
2023-09-15,PancakeSwap,444,Ethereum
2023-09-15,ShibaSwap,354,Ethereum
2023-09-15,Sushiswap,1561,Ethereum
2023-09-15,Synthetix,2,Ethereum
2023-09-15,Trader Joe,2,Ethereum
2023-09-15,Uniswap,52233,Ethereum
2023-09-15,Beethoven X,583,Optimism
2023-09-15,Curve,497,Optimism
2023-09-15,Fraxswap,8,Optimism
2023-09-15,KyberSwap,38,Optimism
2023-09-15,Sushiswap,350,Optimism
2023-09-15,Uniswap,11005,Optimism
2023-09-15,Velodrome,12078,Optimism
2023-09-15,WOOFi,927,Optimism
2023-09-15,Balancer,1180,Polygon
2023-09-15,Curve,267,Polygon
2023-09-15,DODO,1145,Polygon
2023-09-15,Fraxswap,36,Polygon
2023-09-15,KyberSwap,377,Polygon
2023-09-15,QuickSwap,9514,Polygon
2023-09-15,Sushiswap,3738,Polygon
2023-09-15,Uniswap,12008,Polygon
2023-09-15,WOOFi,1247,Polygon
2023-09-14,Balancer,919,Arbitrum
2023-09-14,Camelot,1852,Arbitrum
2023-09-14,Curve,35,Arbitrum
2023-09-14,DODO,387,Arbitrum
2023-09-14,Fraxswap,46,Arbitrum
2023-09-14,GMX,158,Arbitrum
2023-09-14,KyberSwap,706,Arbitrum
2023-09-14,Sushiswap,2485,Arbitrum
2023-09-14,Trader Joe,1419,Arbitrum
2023-09-14,Uniswap,10428,Arbitrum
2023-09-14,WOOFi,1362,Arbitrum
2023-09-14,Zyberswap,361,Arbitrum
2023-09-14,Balancer,63,Avalanche
2023-09-14,Curve,160,Avalanche
2023-09-14,Fraxswap,17,Avalanche
2023-09-14,GMX,145,Avalanche
2023-09-14,Hashflow,35,Avalanche
2023-09-14,KyberSwap,236,Avalanche
2023-09-14,Pangolin,1205,Avalanche
2023-09-14,Platypus,344,Avalanche
2023-09-14,Sushiswap,489,Avalanche
2023-09-14,Trader Joe,5649,Avalanche
2023-09-14,Uniswap,815,Avalanche
2023-09-14,WOOFi,947,Avalanche
2023-09-14,Balancer,201,Ethereum
2023-09-14,Curve,461,Ethereum
2023-09-14,DODO,104,Ethereum
2023-09-14,Fraxswap,34,Ethereum
2023-09-14,Hashflow,62,Ethereum
