Date,Marketplace,Values,Blockchain
2023-04-18,Blur,34445879.66,Ethereum
2023-04-18,Larva Labs,334343.41,Ethereum
2023-04-18,LooksRare,7489384.629,Ethereum
2023-04-18,NFTX,289146.6071,Ethereum
2023-04-18,OpenSea,9304216.93,Ethereum
2023-04-18,Rarible,4941.219566,Ethereum
2023-04-18,Sudoswap,49590.46,Ethereum
2023-04-18,X2Y2,5199025.003,Ethereum
2023-04-18,Quix,25592.44,Optimism
2023-04-18,OpenSea,1942756.246,Polygon
2023-04-18,Coral Cube,30329.32974,Solana
2023-04-18,Exchange Art,7519.174012,Solana
2023-04-18,Hadeswap,121296.1325,Solana
2023-04-18,Hyperspace,3477.556764,Solana
2023-04-18,Magic Eden,1595549.617,Solana
2023-04-18,Opensea,11.88598583,Solana
2023-04-18,Solanart,1564.803568,Solana
2023-04-18,Tensor,819908.9289,Solana
2023-04-17,Blur,26117749.08,Ethereum
2023-04-17,Larva Labs,846858.42,Ethereum
2023-04-17,LooksRare,6981247.76,Ethereum
2023-04-17,NFTX,55577.46568,Ethereum
2023-04-17,OpenSea,8551319.782,Ethereum
2023-04-17,Rarible,5494.224563,Ethereum
2023-04-17,Sudoswap,20292.38,Ethereum
2023-04-17,X2Y2,4950123.991,Ethereum
2023-04-17,Quix,19188.1,Optimism
2023-04-17,OpenSea,539159.8855,Polygon
