Date,Blockchain,Values
2023-03-05,Optimism,24589
2023-03-05,Osmosis,13603
2023-03-05,Polygon,327181
2023-03-05,Solana,115408
2023-03-04,Arbitrum,84512
2023-03-04,Avalanche,16416
2023-03-04,Axelar,1563
2023-03-04,BSC,1194860
2023-03-04,Cosmos,17434
2023-03-04,Ethereum,317789
2023-03-04,Gnosis,3112
2023-03-04,NEAR,49081
2023-03-04,Optimism,28091
2023-03-04,Osmosis,12741
2023-03-04,Polygon,309440
2023-03-04,Solana,108021
2023-03-03,Arbitrum,98905
2023-03-03,Avalanche,21936
2023-03-03,Axelar,1589
2023-03-03,BSC,1354349
2023-03-03,Cosmos,19705
2023-03-03,Ethereum,364827
2023-03-03,Gnosis,2745
2023-03-03,NEAR,62901
2023-03-03,Optimism,29654
2023-03-03,Osmosis,39554
2023-03-03,Polygon,321953
2023-03-03,Solana,118065
2023-03-02,Arbitrum,115314
2023-03-02,Avalanche,19301
2023-03-02,Axelar,1620
2023-03-02,BSC,1813773
2023-03-02,Cosmos,18193
2023-03-02,Ethereum,382609
2023-03-02,Gnosis,3009
2023-03-02,NEAR,60752
2023-03-02,Optimism,35806
2023-03-02,Osmosis,25376
2023-03-02,Polygon,344496
2023-03-02,Solana,125556
2023-03-01,Arbitrum,110587
2023-03-01,Avalanche,19324
2023-03-01,Axelar,1702
2023-03-01,BSC,1568883
2023-03-01,Cosmos,19631
2023-03-01,Ethereum,354039
2023-03-01,Gnosis,2996
2023-03-01,NEAR,55200
2023-03-01,Optimism,42603
2023-03-01,Osmosis,17803
2023-03-01,Polygon,398197
2023-03-01,Solana,111557
2023-02-28,Arbitrum,123040
2023-02-28,Avalanche,20130
2023-02-28,Axelar,1675
2023-02-28,BSC,1482879
2023-02-28,Cosmos,23685
2023-02-28,Ethereum,340813
2023-02-28,Gnosis,3954
2023-02-28,NEAR,56964
2023-02-28,Optimism,36931
2023-02-28,Osmosis,51999
2023-02-28,Polygon,263080
2023-02-28,Solana,117489
2023-02-27,Arbitrum,138460
2023-02-27,Avalanche,30700
2023-02-27,Axelar,1736
2023-02-27,BSC,1290302
2023-02-27,Cosmos,22137
2023-02-27,Ethereum,373782
2023-02-27,Gnosis,6304
2023-02-27,NEAR,54234
2023-02-27,Optimism,76145
2023-02-27,Osmosis,16111
2023-02-27,Polygon,342323
2023-02-27,Solana,131747
2023-02-26,Arbitrum,102734
2023-02-26,Avalanche,20922
2023-02-26,Axelar,1643
2023-02-26,BSC,1142626
2023-02-26,Cosmos,19245
2023-02-26,Ethereum,375107
2023-02-26,Gnosis,2560
2023-02-26,NEAR,51120
2023-02-26,Optimism,83431
2023-02-26,Osmosis,48539
2023-02-26,Polygon,352206
2023-02-26,Solana,101806
2023-02-25,Arbitrum,103763
2023-02-25,Avalanche,21140
2023-02-25,Axelar,1603
2023-02-25,BSC,1191484
2023-02-25,Cosmos,15918
2023-02-25,Ethereum,375559
2023-02-25,Gnosis,3140
2023-02-25,NEAR,50997
2023-02-25,Optimism,81754
2023-02-25,Osmosis,21505
2023-02-25,Polygon,293727
2023-02-25,Solana,26814
2023-02-24,Arbitrum,101863
2023-02-24,Avalanche,23033
2023-02-24,Axelar,1638
2023-02-24,BSC,1214107
2023-02-24,Cosmos,27558
2023-02-24,Ethereum,412261
2023-02-24,Gnosis,3206
2023-02-24,NEAR,59398
2023-02-24,Optimism,90872
2023-02-24,Osmosis,51254
2023-02-24,Polygon,299764
2023-02-24,Solana,127358
2023-02-23,Arbitrum,105985
2023-02-23,Avalanche,27487
2023-02-23,Axelar,1664
2023-02-23,BSC,1191063
2023-02-23,Cosmos,22262
2023-02-23,Ethereum,395454
2023-02-23,Gnosis,3522
2023-02-23,NEAR,78427
2023-02-23,Optimism,72801
2023-02-23,Osmosis,36833
2023-02-23,Polygon,266200
2023-02-23,Solana,117648
2023-02-22,Arbitrum,136095
2023-02-22,Avalanche,27987
2023-02-22,Axelar,1611
2023-02-22,BSC,1016907
2023-02-22,Cosmos,29191
2023-02-22,Ethereum,357668
2023-02-22,Gnosis,2835
2023-02-22,NEAR,63837
2023-02-22,Optimism,44961
2023-02-22,Osmosis,16183
2023-02-22,Polygon,284407
2023-02-22,Solana,125783
2023-02-21,Arbitrum,120721
2023-02-21,Avalanche,23323
2023-02-21,Axelar,1581
2023-02-21,BSC,971830
2023-02-21,Cosmos,18039
2023-02-21,Ethereum,359995
2023-02-21,Gnosis,3167
2023-02-21,NEAR,64686
2023-02-21,Optimism,32608
2023-02-21,Osmosis,16662
2023-02-21,Polygon,275194
2023-02-21,Solana,122065
