Date,Blockchain,DEX,Values
2023-01-04,Ethereum,Synthetix,27
2023-01-04,Ethereum,Uniswap,130871
2023-01-03,Ethereum,Balancer,756
2023-01-03,Ethereum,Curve,1252
2023-01-03,Ethereum,Sushi,4037
2023-01-03,Ethereum,Synthetix,16
2023-01-03,Ethereum,Uniswap,121275
2023-01-02,Ethereum,Balancer,696
2023-01-02,Ethereum,Curve,1201
2023-01-02,Ethereum,Sushi,4727
2023-01-02,Ethereum,Synthetix,20
2023-01-02,Ethereum,Uniswap,108051
2023-01-01,Ethereum,Balancer,647
2023-01-01,Ethereum,Curve,1023
2023-01-01,Ethereum,Sushi,3816
2023-01-01,Ethereum,Synthetix,4
2023-01-01,Ethereum,Uniswap,83842
2022-12-31,Ethereum,Balancer,810
2022-12-31,Ethereum,Curve,1468
2022-12-31,Ethereum,Sushi,4563
2022-12-31,Ethereum,Synthetix,5
2022-12-31,Ethereum,Uniswap,74773
2022-12-30,Ethereum,Balancer,660
2022-12-30,Ethereum,Curve,1368
2022-12-30,Ethereum,Sushi,4456
2022-12-30,Ethereum,Synthetix,10
2022-12-30,Ethereum,Uniswap,76856
2022-12-29,Ethereum,Balancer,944
2022-12-29,Ethereum,Curve,1455
2022-12-29,Ethereum,Sushi,6093
2022-12-29,Ethereum,Synthetix,16
2022-12-29,Ethereum,Uniswap,86170
2022-12-28,Ethereum,Balancer,966
2022-12-28,Ethereum,Curve,1745
2022-12-28,Ethereum,Sushi,5559
2022-12-28,Ethereum,Synthetix,32
2022-12-28,Ethereum,Uniswap,85601
2022-12-27,Ethereum,Balancer,649
2022-12-27,Ethereum,Curve,1566
2022-12-27,Ethereum,Sushi,4962
2022-12-27,Ethereum,Synthetix,31
2022-12-27,Ethereum,Uniswap,82704
2022-12-26,Ethereum,Balancer,559
2022-12-26,Ethereum,Curve,1163
2022-12-26,Ethereum,Sushi,5221
2022-12-26,Ethereum,Synthetix,8
2022-12-26,Ethereum,Uniswap,79634
2022-12-25,Ethereum,Balancer,623
2022-12-25,Ethereum,Curve,1340
2022-12-25,Ethereum,Sushi,3861
2022-12-25,Ethereum,Synthetix,19
2022-12-25,Ethereum,Uniswap,60811
2022-12-24,Ethereum,Balancer,541
2022-12-24,Ethereum,Curve,1124
2022-12-24,Ethereum,Sushi,4362
2022-12-24,Ethereum,Synthetix,2
2022-12-24,Ethereum,Uniswap,61605
2022-12-23,Ethereum,Balancer,709
2022-12-23,Ethereum,Curve,2194
2022-12-23,Ethereum,Sushi,4924
2022-12-23,Ethereum,Synthetix,22
2022-12-23,Ethereum,Uniswap,79519
2022-12-22,Ethereum,Balancer,864
2022-12-22,Ethereum,Curve,1946
2022-12-22,Ethereum,Sushi,6867
2022-12-22,Ethereum,Synthetix,22
2022-12-22,Ethereum,Uniswap,86098
2022-12-21,Ethereum,Balancer,769
2022-12-21,Ethereum,Curve,2249
2022-12-21,Ethereum,Sushi,5811
2022-12-21,Ethereum,Synthetix,20
2022-12-21,Ethereum,Uniswap,87257
2022-12-20,Ethereum,Balancer,1115
2022-12-20,Ethereum,Curve,2231
2022-12-20,Ethereum,Sushi,6518
2022-12-20,Ethereum,Synthetix,43
2022-12-20,Ethereum,Uniswap,101666
2022-12-19,Ethereum,Balancer,1035
2022-12-19,Ethereum,Curve,2351
2022-12-19,Ethereum,Sushi,5816
2022-12-19,Ethereum,Synthetix,26
2022-12-19,Ethereum,Uniswap,98156
2022-12-18,Ethereum,Balancer,744
2022-12-18,Ethereum,Curve,1713
